"fazenda";"talhao";"area";"matgen";"idade";"parcela";"areaparc";"nfustes";"percfalhas";"percmortas";"percquebradas";"hdom";"areabasal";"ima";"vcomcc";"vcomsc";"vtsc";"vtcc"
1;51;102,69;9;5,74;259;400;950;7,32;2,44;0;24,38;17,2;32,15;165,92;148,07;161,78;184,48
1;51;102,69;9;5,74;260;400;975;4,88;0;0;25,15;21,18;42,32;223,42;197,1;212,97;242,85
1;22;81,64;9;5,65;261;400;1050;4,55;0;0;23,9;21,85;40,16;206,17;184,35;198,35;226,7
1;22;81,64;9;5,65;262;400;900;12,2;0;0;25,3;19,95;38,61;201,02;178,02;190,7;217,95
1;22;81,64;9;5,65;264;400;1025;8,89;13,33;0;23,85;20,19;36,44;185,91;164,81;179,99;205,71
1;22;81,64;9;5,65;265;400;925;2,63;0;0;25,67;22,01;44,66;233,3;205,89;220,61;252,14
1;22;81,64;9;5,65;266;400;1050;0;0;0;24,4;22,72;43,13;222,01;199,7;213,05;243,5
1;22;81,64;9;5,65;267;400;975;2,5;2,5;0;23,95;18,48;33,77;171,52;151,11;166,82;190,66
1;15;99,87;9;5,17;268;400;1250;5,66;47,17;0;24,5;20;40,25;178,06;166,72;184,25;208,05
1;15;99,87;9;5,17;272;400;1075;21,15;13,46;0;23,13;17,36;32,54;145,84;132,87;148,95;168,18
1;15;99,87;9;5,17;273;400;1125;11,76;50,98;0;22,7;16,75;31,61;137,6;126,32;144,69;163,37
1;15;99,87;9;5,17;274;400;1200;5,88;43,14;0;22,9;16,88;30,23;129,99;120,86;138,39;156,26
1;45;55,41;9;5,33;276;400;950;20,83;33,33;0;22,42;15,3;29,11;136,15;120,37;136,09;155,19
1;45;55,41;9;5,33;277;400;1200;7,69;19,23;0;24;20,87;42,54;201,97;182,9;198,87;226,78
1;45;55,41;9;5,33;279;400;1225;7,55;24,53;0;24,08;19,08;38,52;179,51;161,14;180,08;205,35
1;45;55,41;9;5,33;280;400;1200;4,08;59,18;0;24,08;19,85;40,99;192,06;175,33;191,63;218,52
1;13;100,27;9;5,33;281;400;1275;7,41;27,78;0;23,55;17,61;32,56;145,5;131,72;153,69;173,54
1;13;100,27;9;5,33;282;400;1175;4,08;6,12;0;23,07;16,52;30,63;137,69;123,51;144,6;163,27
1;13;100,27;9;5,33;283;400;1225;3,92;9,8;0;23,38;16,84;30,69;136,35;122,39;144,89;163,61
1;13;100,27;9;5,33;284;400;1375;1,82;7,27;0;23,5;18,07;33,65;148,06;133,2;158,84;179,35
1;13;100,27;9;5,33;285;400;1275;0;15,69;0;23,27;17,62;31,93;143,15;126,86;150,74;170,21
1;13;100,27;9;5,33;286;400;1325;1,85;14,81;0;23,3;17,67;31,7;139,64;126,41;149,66;168,99
1;13;100,27;9;5,33;287;400;1375;1,82;14,55;0;24,23;18,87;36,03;161,15;149,3;170,11;192,07
1;13;100,27;9;5,33;288;400;1300;7,27;1,82;0;23,77;18,58;34,82;157,18;141,06;164,39;185,62
1;14;96,09;9;5,38;292;400;1125;8,16;57,14;0;23,15;18,29;33,38;156,86;141,6;159,12;179,67
1;14;96,09;9;5,38;294;400;1250;1,96;60,78;0;24,02;20,35;38,75;181,97;166,89;184,73;208,59
1;14;96,09;9;5,38;295;400;1300;1,92;69,23;0;23,75;20,85;39,81;183,97;171,46;189,75;214,26
1;14;96,09;9;5,38;296;400;925;21,28;27,66;0;24;16,33;30,87;146,89;134,86;147,16;166,16
